Name,preferred_name,ID
Afghanistan,Afghanistan,1
Aland Islands,Aland Islands,2
Albania,Albania,38
Albania (2015),Albania,39
Algeria,Algeria,40
American Samoa,American Samoa,5
Andorra,Andorra,6
Angola,Angola,7
Anguilla,Anguilla,8
Antarctica,Antarctica,9
Antigua and Barbuda,Antigua and Barbuda,10
Argentina,Argentina,48
Argentina (2015),Argentina,41
Armenia,Armenia,95
Aruba,Aruba,13
Australia,Australia,3
Austria,Austria,4
Azerbaijan,Azerbaijan,108
Bahamas,Bahamas,5
Bahrain,Bahrain,39
Bangladesh,Bangladesh,98
Barbados,Barbados,20
Belarus,Belarus,96
Belgium,Belgium,5
Belize,Belize,23
Benin,Benin,24
Bermuda,Bermuda,1
Bhutan,Bhutan,26
Bolivia,Bolivia,87
Bosnia and Herzegovina,Bosnia and Herzegovina,28
Bosnia And Herzegovina,Bosnia and Herzegovina,86
Botswana,Botswana,29
Bouvet Island,Bouvet Island,30
Brazil,Brazil,42
British Indian Ocean Territory,British Indian Ocean Territory,33
British Virgin Islands,British Virgin Islands,32
Brunei Darussalam,Brunei Darussalam,34
B-S-J-G (China),China,43
Bulgaria,Bulgaria,44
Burkina Faso,Burkina Faso,36
Burundi,Burundi,37
CABA (Argentina),Argentina,45
Cambodia,Cambodia,65
Cameroon,Cameroon,39
Canada,Canada,6
Cape Verde,Cape Verde,41
Cayman Islands,Cayman Islands,42
Central African Republic,Central African Republic,43
Chad,Chad,44
Chile,Chile,7
China,China,74
Chinese Taipei,Taiwan,72
Christmas Island,Christmas Island,49
Cocos (Keeling) Islands,Cocos (Keeling) Islands,50
Colombia,Colombia,46
Comoros,Comoros,52
"Congo, (Kinshasa)","Congo, (Kinshasa)",54
Congo (Brazzaville),Congo (Brazzaville),53
Cook Islands,Cook Islands,55
Costa Rica,Costa Rica,47
Côte d'Ivoire,Côte d'Ivoire,57
Croatia,Croatia,48
Cuba,Cuba,59
Cyprus,Cyprus,49
Czech Republic,Czech Republic,8
Denmark,Denmark,9
Djibouti,Djibouti,63
Dominica,Dominica,64
Dominican Republic,Dominican Republic,50
Ecuador,Ecuador,72
Egypt,Egypt,115
El Salvador,El Salvador,63
Equatorial Guinea,Equatorial Guinea,69
Eritrea,Eritrea,70
Estonia,Estonia,10
Ethiopia,Ethiopia,60
Falkland Islands (Malvinas),Falkland Islands (Malvinas),73
Faroe Islands,Faroe Islands,74
Fiji,Fiji,75
Finland,Finland,11
France,France,12
French Guiana,French Guiana,78
French Polynesia,French Polynesia,79
French Southern Territories,French Southern Territories,80
FYROM,FYROM,51
Gabon,Gabon,81
Gambia,Gambia,82
Georgia,Georgia,52
Germany,Germany,13
Ghana,Ghana,35
Gibraltar,Gibraltar,86
Greece,Greece,14
Greenland,Greenland,88
Grenada,Grenada,89
Guadeloupe,Guadeloupe,90
Guam,Guam,91
Guatemala,Guatemala,64
Guernsey,Guernsey,93
Guinea,Guinea,94
Guinea-Bissau,Guinea-Bissau,95
Guyana,Guyana,96
Haiti,Haiti,97
Heard and Mcdonald Islands,Heard and Mcdonald Islands,98
Holy See (Vatican City State),Holy See (Vatican City State),99
Honduras,Honduras,68
Hong Kong,Hong Kong,21
"Hong Kong, SAR China",Hong Kong,47
Hong Kong (China),Hong Kong,53
Hungary,Hungary,15
Iceland,Iceland,16
India,India,114
Indonesia,Indonesia,54
International Average (OECD),International Average (OECD),2
Iran,Iran,88
"Iran, Islamic Republic of",Iran,105
Iraq,Iraq,66
Ireland,Ireland,17
Isle of Man,Isle of Man,108
Israel,Israel,18
Italy,Italy,19
Jamaica,Jamaica,41
Japan,Japan,20
Jersey,Jersey,113
Jordan,Jordan,55
Kazakhstan,Kazakhstan,56
Kazakhstan (2015),Kazakhstan,57
Kenya,Kenya,84
Kiribati,Kiribati,117
Korea,South Korea,21
Korea (North),North Korea,118
Korea (South),South Korea,119
Kosovo,Kosovo,58
Kosovo (Disputed Territory),Kosovo,110
Kuwait,Kuwait,32
Kyrgyzstan,Kyrgyzstan,121
Lao PDR,Lao PDR,122
Latvia,Latvia,22
Lebanon,Lebanon,59
Lesotho,Lesotho,125
Liberia,Liberia,126
Libya,Libya,127
Liechtenstein,Liechtenstein,128
Lithuania,Lithuania,60
Luxembourg,Luxembourg,23
"Macao, SAR China",Macao,48
Macao (China),Macao,61
Macedonia,Macedonia,104
"Macedonia, Republic of",Macedonia,131
Madagascar,Madagascar,132
Malawi,Malawi,133
Malaysia,Malaysia,62
Malaysia (2015),Malaysia,63
Maldives,Maldives,135
Mali,Mali,136
Malta,Malta,64
Marshall Islands,Marshall Islands,138
Martinique,Martinique,139
Mauritania,Mauritania,140
Mauritius,Mauritius,53
Mayotte,Mayotte,142
Mexico,Mexico,24
"Micronesia, Federated States of","Micronesia, Federated States of",144
Moldova,Moldova,65
Monaco,Monaco,146
Mongolia,Mongolia,147
Montenegro,Montenegro,66
Montserrat,Montserrat,149
Morocco,Morocco,89
Mozambique,Mozambique,151
Myanmar,Myanmar,152
Namibia,Namibia,153
Nauru,Nauru,154
Nepal,Nepal,107
Netherlands,Netherlands,25
Netherlands Antilles,Netherlands Antilles,157
New Caledonia,New Caledonia,158
New Zealand,New Zealand,26
Nicaragua,Nicaragua,160
Niger,Niger,161
Nigeria,Nigeria,103
Niue,Niue,163
Norfolk Island,Norfolk Island,164
Northern Mariana Islands,Northern Mariana Islands,165
Norway,Norway,27
Oman,Oman,52
Pakistan,Pakistan,113
Palau,Palau,169
Palestinian Territory,Palestinian Territory,40
Panama,Panama,47
Papua New Guinea,Papua New Guinea,172
Paraguay,Paraguay,173
Peru,Peru,67
Philippines,Philippines,92
Pitcairn,Pitcairn,176
Poland,Poland,28
Portugal,Portugal,29
Puerto Rico,Puerto Rico,29
Qatar,Qatar,68
Réunion,Réunion,181
Romania,Romania,69
Russia,Russia,70
Russian Federation,Russia,183
Rwanda,Rwanda,184
Saint-Barthélemy,Saint-Barthélemy,185
Saint Helena,Saint Helena,186
Saint Kitts and Nevis,Saint Kitts and Nevis,187
Saint Lucia,Saint Lucia,188
Saint-Martin (French part),Saint-Martin (French part),189
Saint Pierre and Miquelon,Saint Pierre and Miquelon,190
Saint Vincent and Grenadines,Saint Vincent and Grenadines,191
Samoa,Samoa,192
San Marino,San Marino,193
Sao Tome and Principe,Sao Tome and Principe,194
Saudi Arabia,Saudi Arabia,61
Selected countries and jurisdictions,Selected countries and jurisdictions,1
Senegal,Senegal,196
Serbia,Serbia,90
Seychelles,Seychelles,198
Sierra Leone,Sierra Leone,199
Singapore,Singapore,71
Slovakia,Slovakia,62
Slovak Republic,Slovakia,30
Slovenia,Slovenia,31
Solomon Islands,Solomon Islands,203
Somalia,Somalia,204
South Africa,South Africa,73
South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,206
South Korea,South Korea,19
South Sudan,South Sudan,207
Spain,Spain,32
Sri Lanka,Sri Lanka,100
Sudan,Sudan,210
Suriname,Suriname,211
Svalbard and Jan Mayen Islands,Svalbard and Jan Mayen Islands,212
Swaziland,Swaziland,213
Sweden,Sweden,33
