raw name,preferred_name
Selected countries and jurisdictions,Selected countries and jurisdictions
International Average (OECD),International Average (OECD)
Australia,Australia
Austria,Austria
Belgium,Belgium
Canada,Canada
Chile,Chile
Czech Republic,Czech Republic
Denmark,Denmark
Estonia,Estonia
Finland,Finland
France,France
Germany,Germany
Greece,Greece
Hungary,Hungary
Iceland,Iceland
Ireland,Ireland
Israel,Israel
Italy,Italy
Japan,Japan
Korea,South Korea
Latvia,Latvia
Luxembourg,Luxembourg
Mexico,Mexico
Netherlands,Netherlands
New Zealand,New Zealand
Norway,Norway
Poland,Poland
Portugal,Portugal
Slovak Republic,Slovakia
Slovenia,Slovenia
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
Turkey,Turkey
United Kingdom,United Kingdom
United States,United States
Albania,Albania
Albania (2015),Albania
Algeria,Algeria
Argentina (2015),Argentina
Brazil,Brazil
B-S-J-G (China),China
Bulgaria,Bulgaria
CABA (Argentina),Argentina
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Cyprus,Cyprus
Dominican Republic,Dominican Republic
FYROM,FYROM
Georgia,Georgia
Hong Kong (China),Hong Kong
Indonesia,Indonesia
Jordan,Jordan
Kazakhstan,Kazakhstan
Kazakhstan (2015),Kazakhstan
Kosovo,Kosovo
Lebanon,Lebanon
Lithuania,Lithuania
Macao (China),Macao
Malaysia,Malaysia
Malaysia (2015),Malaysia
Malta,Malta
Moldova,Moldova
Montenegro,Montenegro
Peru,Peru
Qatar,Qatar
Romania,Romania
Russia,Russia
Singapore,Singapore
Chinese Taipei,Taiwan
Thailand,Thailand
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
United Arab Emirates,United Arab Emirates
Uruguay,Uruguay
Viet Nam,Vietnam
Selected countries and jurisdictions,Selected countries and jurisdictions
International Average (OECD),International Average (OECD)
Australia,Australia
Austria,Austria
Belgium,Belgium
Canada,Canada
Chile,Chile
Czech Republic,Czech Republic
Denmark,Denmark
Estonia,Estonia
Finland,Finland
France,France
Germany,Germany
Greece,Greece
Hungary,Hungary
Iceland,Iceland
Ireland,Ireland
Israel,Israel
Italy,Italy
Japan,Japan
Korea,South Korea
Latvia,Latvia
Luxembourg,Luxembourg
Mexico,Mexico
Netherlands,Netherlands
New Zealand,New Zealand
Norway,Norway
Poland,Poland
Portugal,Portugal
Slovak Republic,Slovakia
Slovenia,Slovenia
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
Turkey,Turkey
United Kingdom,United Kingdom
United States,United States
Albania,Albania
Albania (2015),Albania
Algeria,Algeria
Argentina (2015),Argentina
Brazil,Brazil
B-S-J-G (China),China
Bulgaria,Bulgaria
CABA (Argentina),Argentina
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Cyprus,Cyprus
Dominican Republic,Dominican Republic
FYROM,FYROM
Georgia,Georgia
Hong Kong (China),Hong Kong
Indonesia,Indonesia
Jordan,Jordan
Kazakhstan,Kazakhstan
Kazakhstan (2015),Kazakhstan
Kosovo,Kosovo
Lebanon,Lebanon
Lithuania,Lithuania
Macao (China),Macao
Malaysia,Malaysia
Malaysia (2015),Malaysia
Malta,Malta
Moldova,Moldova
Montenegro,Montenegro
Peru,Peru
Qatar,Qatar
Romania,Romania
Russia,Russia
Singapore,Singapore
Chinese Taipei,Taiwan
Thailand,Thailand
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
United Arab Emirates,United Arab Emirates
Uruguay,Uruguay
Viet Nam,Vietnam
Selected countries and jurisdictions,Selected countries and jurisdictions
International Average (OECD),International Average (OECD)
Australia,Australia
Austria,Austria
Belgium,Belgium
Canada,Canada
Chile,Chile
Czech Republic,Czech Republic
Denmark,Denmark
Estonia,Estonia
Finland,Finland
France,France
Germany,Germany
Greece,Greece
Hungary,Hungary
Iceland,Iceland
Ireland,Ireland
Israel,Israel
Italy,Italy
Japan,Japan
Korea,South Korea
Latvia,Latvia
Luxembourg,Luxembourg
Mexico,Mexico
Netherlands,Netherlands
New Zealand,New Zealand
Norway,Norway
Poland,Poland
Portugal,Portugal
Slovak Republic,Slovakia
Slovenia,Slovenia
Spain,Spain
Sweden,Sweden
Switzerland,Switzerland
Turkey,Turkey
United Kingdom,United Kingdom
United States,United States
Albania,Albania
Albania (2015),Albania
Algeria,Algeria
Argentina (2015),Argentina
Brazil,Brazil
B-S-J-G (China),China
Bulgaria,Bulgaria
CABA (Argentina),Argentina
Colombia,Colombia
Costa Rica,Costa Rica
Croatia,Croatia
Cyprus,Cyprus
Dominican Republic,Dominican Republic
