raw name,preferred_name
Afghanistan,Afghanistan
Aland Islands,Aland Islands
Albania,Albania
Albania (2015),Albania
Algeria,Algeria
American Samoa,American Samoa
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antarctica,Antarctica
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Argentina (2015),Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bosnia and Herzegovina,Bosnia and Herzegovina
Bosnia And Herzegovina,Bosnia and Herzegovina
Bosnia-Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Bouvet Island,Bouvet Island
Brazil,Brazil
British Indian Ocean Territory,British Indian Ocean Territory
British Virgin Islands,British Virgin Islands
Brunei,Brunei
Brunei Darussalam,Brunei
B-S-J-G (China),China
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burma,Burma
Burundi,Burundi
CABA (Argentina),Argentina
Cabo Verde,Cape Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cape Verde
Caribbean Netherlands,Netherlands Antillies
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Chad,Chad
Channel Islands,Channel Islands
Chile,Chile
China,China
Chinese Taipei,Taiwan
Christmas Island,Christmas Island
Cocos (Keeling) Islands,Cocos (Keeling) Islands
Colombia,Colombia
Comoros,Comoros
Congo,Congo (Brazzaville)
"Congo, (Kinshasa)",Congo (Kinshasa)
Congo (Brazzaville),Congo (Brazzaville)
Congo (Kinshasa),Congo (Kinshasa)
Congo-Brazzaville,Congo (Brazzaville)
Cook Islands,Cook Islands
Costa Rica,Costa Rica
Côte d'Ivoire,Côte d'Ivoire
Côte d’Ivoire,Côte d'Ivoire
Croatia,Croatia
Cuba,Cuba
Curaçao,Curaçao
Cyprus,Cyprus
Czech Republic,Czech Republic
Democratic Republic of Congo,Congo (Kinshasa)
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
DR Congo,Congo (Kinshasa)
East Timor,Timor-Leste
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Faeroe Islands,Faeroe Islands
Falkland Islands,Falkland Islands
Falkland Islands (Malvinas),Falkland Islands
Faroe Islands,Faeroe Islands
Fiji,Fiji
Finland,Finland
France,France
French Guiana,French Guiana
French Polynesia,French Polynesia
French Southern Territories,French Southern Territories
FYROM,Macedonia
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Gibraltar,Gibraltar
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guernsey,Guernsey
Guinea,Guinea
Guinea Bissau,Guinea Bissau
Guinea-Bissau,Guinea Bissau
Guyana,Guyana
Haiti,Haiti
Haïti,Haiti
Heard and Mcdonald Islands,Heard and Mcdonald Islands
Holy See,Holy See
Holy See (Vatican City State),Holy See
Honduras,Honduras
Hong Kong,Hong Kong
"Hong Kong, SAR China",Hong Kong
Hong Kong (China),Hong Kong
"Hong Kong S.A.R., China",Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
International Average (OECD),International Average (OECD)
Iran,Iran
"Iran, Islamic Republic of",Iran
Iraq,Iraq
Ireland,Ireland
Isle of Man,Isle of Man
Israel,Israel
Italy,Italy
Ivory Coast,Côte d'Ivoire
Jamaica,Jamaica
Japan,Japan
Jersey,Jersey
Jordan,Jordan
Kazakhstan,Kazakhstan
Kazakhstan (2015),Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Korea,South Korea
Korea (North),North Korea
Korea (South),South Korea
Kosovo,Kosovo
Kosovo (Disputed Territory),Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Lao PDR,Laos
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
