Name,ID
Selected countries and jurisdictions,1
International Average (OECD),2
Australia,3
Austria,4
Belgium,5
Canada,6
Chile,7
Czech Republic,8
Denmark,9
Estonia,10
Finland,11
France,12
Germany,13
Greece,14
Hungary,15
Iceland,16
Ireland,17
Israel,18
Italy,19
Japan,20
Korea,21
Latvia,22
Luxembourg,23
Mexico,24
Netherlands,25
New Zealand,26
Norway,27
Poland,28
Portugal,29
Slovak Republic,30
Slovenia,31
Spain,32
Sweden,33
Switzerland,34
Turkey,35
United Kingdom,36
United States,37
Albania,38
Albania (2015),39
Algeria,40
Argentina (2015),41
Brazil,42
B-S-J-G (China),43
Bulgaria,44
CABA (Argentina),45
Colombia,46
Costa Rica,47
Croatia,48
Cyprus,49
Dominican Republic,50
FYROM,51
Georgia,52
Hong Kong (China),53
Indonesia,54
Jordan,55
Kazakhstan,56
Kazakhstan (2015),57
Kosovo,58
Lebanon,59
Lithuania,60
Macao (China),61
Malaysia,62
Malaysia (2015),63
Malta,64
Moldova,65
Montenegro,66
Peru,67
Qatar,68
Romania,69
Russia,70
Singapore,71
Chinese Taipei,72
Thailand,73
Trinidad and Tobago,74
Tunisia,75
United Arab Emirates,76
Uruguay,77
Viet Nam,78
Selected countries and jurisdictions,1
International Average (OECD),2
Australia,3
Austria,4
Belgium,5
Canada,6
Chile,7
Czech Republic,8
Denmark,9
Estonia,10
Finland,11
France,12
Germany,13
Greece,14
Hungary,15
Iceland,16
Ireland,17
Israel,18
Italy,19
Japan,20
Korea,21
Latvia,22
Luxembourg,23
Mexico,24
Netherlands,25
New Zealand,26
Norway,27
Poland,28
Portugal,29
Slovak Republic,30
Slovenia,31
Spain,32
Sweden,33
Switzerland,34
Turkey,35
United Kingdom,36
United States,37
Albania,38
Albania (2015),39
Algeria,40
Argentina (2015),41
Brazil,42
B-S-J-G (China),43
Bulgaria,44
CABA (Argentina),45
Colombia,46
Costa Rica,47
Croatia,48
Cyprus,49
Dominican Republic,50
FYROM,51
Georgia,52
Hong Kong (China),53
Indonesia,54
Jordan,55
Kazakhstan,56
Kazakhstan (2015),57
Kosovo,58
Lebanon,59
Lithuania,60
Macao (China),61
Malaysia,62
Malaysia (2015),63
Malta,64
Moldova,65
Montenegro,66
Peru,67
Qatar,68
Romania,69
Russia,70
Singapore,71
Chinese Taipei,72
Thailand,73
Trinidad and Tobago,74
Tunisia,75
United Arab Emirates,76
Uruguay,77
Viet Nam,78
Selected countries and jurisdictions,1
International Average (OECD),2
Australia,3
Austria,4
Belgium,5
Canada,6
Chile,7
Czech Republic,8
Denmark,9
Estonia,10
Finland,11
France,12
Germany,13
Greece,14
Hungary,15
Iceland,16
Ireland,17
Israel,18
Italy,19
Japan,20
Korea,21
Latvia,22
Luxembourg,23
Mexico,24
Netherlands,25
New Zealand,26
Norway,27
Poland,28
Portugal,29
Slovak Republic,30
Slovenia,31
Spain,32
Sweden,33
Switzerland,34
Turkey,35
United Kingdom,36
United States,37
Albania,38
Albania (2015),39
Algeria,40
Argentina (2015),41
Brazil,42
B-S-J-G (China),43
Bulgaria,44
CABA (Argentina),45
Colombia,46
Costa Rica,47
Croatia,48
Cyprus,49
Dominican Republic,50
FYROM,51
Georgia,52
Hong Kong (China),53
Indonesia,54
Jordan,55
Kazakhstan,56
Kazakhstan (2015),57
Kosovo,58
Lebanon,59
Lithuania,60
Macao (China),61
Malaysia,62
Malaysia (2015),63
Malta,64
Moldova,65
Montenegro,66
Peru,67
Qatar,68
Romania,69
